Company Name,Symbol,Discount Percentage,Link
Prudential plc,PRU,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0007099541GBGBXSET1.html
Reckitt Benckiser,RB.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B24CGK77GBGBXSET1.html
RELX Group,REL,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B2B0DG97GBGBXSET1.html
Rentokil Initial,RTO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B082RF11GBGBXSET1.html
Rio Tinto Group,RIO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0007188757GBGBXSET1.html
Rightmove,RMV,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BGDT3G23GBGBXSET1.html
Rolls-Royce Holdings,RR.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B63H8491GBGBXSET1.html
Royal Bank of Scotland Group,RBS,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B7T77214GBGBXSET1.html
Royal Dutch Shell,RDSA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B03MLX29GBGBXSET1.html
RSA Insurance Group,RSA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BKKMKR23GBGBXSET1.html
Sage Group,SGE,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B8C3BL03GBGBXSET1.html
Sainsbury's,SBRY,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B019KW72GBGBXSET1.html
Schroders,SDR,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002405495GBGBXSET1.html
Scottish Mortgage Investment Trust,SMT,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BLDYK618GBGBXSET1.html
Segro,SGRO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B5ZN1N88GBGBXSET1.html
Severn Trent,SVT,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1FH8J72GBGBXSET1.html
Smith & Nephew,SN.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0009223206GBGBXSET1.html
"Smith, D.S.",SMDS,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0008220112GBGBXSET1.html
Smiths Group,SMIN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1WY2338GBGBXSET1.html
Smurfit Kappa,SKG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/IE00B1RR8406IEGBXSET1.html
Spirax-Sarco Engineering,SPX,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BWFGQN14GBGBXSET1.html
SSE plc,SSE,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0007908733GBGBXSET1.html
Standard Chartered,STAN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0004082847GBGBXSET1.html
Standard Life Aberdeen,SLA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF8Q6K64GBGBXSET1.html
St. James's Place plc,STJ,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0007669376GBGBXSET1.html
Taylor Wimpey,TW.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0008782301GBGBXSET1.html
Tesco,TSCO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0008847096GBGBXSET1.html
TUI Group,TUI,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/DE000TUAG000GBGBXSET1.html
Unilever,ULVR,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B10RZP78GBGBXSET1.html
United Utilities,UU.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B39J2M42GBGBXSET1.html
Vodafone Group,VOD,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BH4HKS39GBGBXSET1.html
Whitbread,WTB,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1KJJ408GBGBXSET1.html
Wood Group,WG.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B5N0P849GBGBXSET1.html
WPP plc,WPP,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/JE00B8KF9B49JEGBXSET1.html
3i Infrastructure,3IN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/JE00BF5FX167JEGBXSTMM.html
888 Holdings,888,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GI000A0F6407GBGBXSTMM.html
Aberforth Smaller Companies Trust,ASL,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000066554GBGBXSTMM.html
Acacia Mining,ACA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B61D2N63GBGBXSTMM.html
Aggreko,AGK,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BK1PTB77GBGBXSTMM.html
Alliance Trust,ATST,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B11V7W98GBGBXSTMM.html
Amigo,AMGO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BFFK8T45GBGBXSTMM.html
Apax Global Alpha,APAX,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GG00BWWYMV85GGGBXSTMM.html
Ascential,ASCL,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYM8GJ06GBGBXSTMM.html
Ashmore Group,ASHM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B132NW22GBGBXSTMM.html
Assura,AGR,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BVGBWW93GBGBXSTMM.html
Aston Martin Lagonda,AML,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BFXZC448GBGBXSTMM.html
Avast,AVST,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BDD85M81GBGBXSTMM.html
Aveva,AVV,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BBG9VN75GBGBXSTMM.html
Babcock International,BAB,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0009697037GBGBXSTMM.html
Baillie Gifford Japan Trust,BGFD,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000485838GBGBXSTMM.html
Bakkavör,BAKK,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF8J3Z99GBGBXSTMM.html
Balfour Beatty,BBY,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000961622GBGBXSTMM.html
Bankers Investment Trust,BNKR,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000767003GBGBXSTMM.html
"Barr, A.G.",BAG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B6XZKY75GBGBXSTMM.html
BBA Aviation,BBA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1FP8915GBGBXSTMM.html
BBGI,BBGI,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/LU0686550053GBGBXSTMM.html
BCA Marketplace,BCA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BP0S1D85GBGBXSTMM.html
Bank of Georgia,BGEO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF4HYT85GBGBXSTMM.html
Beazley Group,BEZ,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYQ0JC66GBGBXSTMM.html
Bellway,BWY,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000904986GBGBXSTMM.html
Big Yellow Group,BYG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002869419GBGBXSTMM.html
B & M European Retail Value,BME,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/LU1072616219GBGBXSTMM.html
BlackRock Smaller Companies Trust,BRSC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0006436108GBGBXSTMM.html
BMO Global Smaller Companies,BGSC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0000175058GBGBXSTMM.html
Bodycote,BOY,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B3FLWH99GBGBXSTMM.html
Bovis Homes Group,BVS,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0001859296GBGBXSTMM.html
Brewin Dolphin Holdings,BRW,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0001765816GBGBXSTMM.html
British Empire Trust,BTEM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0001335081GBGBXSTMM.html
Britvic,BVIC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0N8QD54GBGBXSTMM.html
BTG,BTG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0001001592GBGBXSTMM.html
Cairn Energy,CNE,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B74CDH82GBGBXSTMM.html
Caledonia Investments,CLDN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0001639920GBGBXSTMM.html
Capita,CPI,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B23K0M20GBGBXSTMM.html
Capital & Counties Properties,CAPC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B62G9D36GBGBXSTMM.html
Card Factory,CARD,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BLY2F708GBGBXSTMM.html
Centamin,CEY,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/JE00B5TT1872JEGBXSTMM.html
Charter Court Financial Services,CCFS,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD822578GBGBXSTMM.html
Cineworld,CINE,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B15FWH70GBGBXSTMM.html
City of London Investment Trust,CTY,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0001990497GBGBXSTMM.html
Civitas Social Housing,CSH,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD8HBD32GBGBXSTMM.html
Clarkson,CKN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002018363GBGBXSTMM.html
Close Brothers Group,CBG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0007668071GBGBXSTMM.html
CLS Holdings,CLI,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF044593GBGBXSTMM.html
Coats,COA,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B4YZN328GBGBXSTMM.html
Cobham,COB,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B07KD360GBGBXSTMM.html
Computacenter,CCC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BV9FP302GBGBXSTMM.html
ContourGlobal,GLO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF448H58GBGBXSTMM.html
ConvaTec,CTEC,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD3VFW73GBGBXSTMM.html
Countryside Properties,CSP,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYPHNG03GBGBXSTMM.html
Cranswick,CWK,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002318888GBGBXSTMM.html
Crest Nicholson,CRST,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B8VZXT93GBGBXSTMM.html
CYBG,CYBG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD6GN030GBGBXSTMM.html
Daejan Holdings,DJAN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002502036GBGBXSTMM.html
Dairy Crest,DCG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002502812GBGBXSTMM.html
Dechra Pharmaceuticals,DPH,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0009633180GBGBXSTMM.html
Derwent London,DLN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002652740GBGBXSTMM.html
Diploma,DPLM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0001826634GBGBXSTMM.html
Dixons Carphone,DC.,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B4Y7R145GBGBXSTMM.html
Domino's Pizza,DOM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYN59130GBGBXSTMM.html
Drax Group,DRX,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1VNSX38GBGBXSTMM.html
Dunelm Group,DNLM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1CKQ739GBGBXSTMM.html
Edinburgh Dragon Trust,EFM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002945029GBGBXSTMM.html
Edinburgh Investment Trust,EDIN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0003052338GBGBXSTMM.html
Ei Group,EIG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1L8B624GBGBXSTMM.html
Electrocomponents,ECM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0003096442GBGBXSTMM.html
Elementis,ELM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0002418548GBGBXSTMM.html
Energean Oil & Gas,ENOG,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BG12Y042GBGBXSTMM.html
Entertainment One,ETO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/CA29382B1022JEGBXSTMM.html
Equiniti,EQN,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYWWHR75GBGBXSTMM.html
Essentra,ESNT,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0744359GBGBXSTMM.html
Euromoney Institutional Investor,ERM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0006886666GBGBXSTMM.html
F&C Commercial Property Trust,FCPT,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GG00B4ZPCJ00GGGBXSTMM.html
FDM Group,FDM,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BLWDVP51GBGBXSTMM.html
Ferrexpo,FXPO,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1XH2C03GBGBXSTMM.html
Fidelity China Special Situations,FCSS,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B62Z3C74GBGBXSTMM.html
Fidelity European Values,FEV,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BK1PKQ95GBGBXSTMM.html
Fidelity Special Values,FSV,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BWXC7Y93GBGBXSTMM.html
Finsbury Growth & Income Trust,FGT,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0007816068GBGBXSTMM.html
FirstGroup,FGP,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0003452173GBGBXSTMM.html
"Fisher, James & Sons",FSJ,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0003395000GBGBXSTMM.html
Foreign & Colonial Investment Trust,FCIT,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0003466074GBGBXSTMM.html
Funding Circle,FCH,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00BG0TPX62GBGBXSTMM.html
G4S,GFS,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B01FLG62GBGBXSTMM.html
Galliford Try,GFRD,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB00B3Y2J508GBGBXSTMM.html
Games Workshop,GAW,3%,https://www.londonstockexchange.com/exchange/prices-and-markets/stocks/summary/company-summary/GB0003718474GBGBXSTMM.html
